id,geoname_id,extra,alternate_name,extra1,extra2,extra3,extra4,extra5,extra6
3058218,4392388,link,https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D1%84%D1%84%D0%B5%D1%80%D1%81%D0%BE%D0%BD-%D0%A1%D0%B8%D1%82%D0%B8_%28%D0%9C%D0%B8%D1%81%D1%81%D1%83%D1%80%D0%B8%29,,,,,,
7483667,4392388,iata,JEF,,,,,,
8233508,4392388,be,Джэферсан-Сіці,,,,,,
8233509,4392388,fa,جفرسون‌سیتی,,,,,,
8233510,4392388,mr,जेफरसन सिटी,,,,,,
8233511,4392388,bg,Джеферсън Сити,,,,,,
8233512,4392388,lt,Džeferson Sitis,,,,,,
8233513,4392388,lv,Džefersonsitija,,,,,,
8233514,4392388,pnb,جیفرسن سٹی,,,,,,
8233515,4392388,kk,Джефферсон Сити,,,,,,
8233516,4392388,hi,जेफर्सन सिटी,,,,,,
8233517,4392388,he,גפרסון סיטי,,,,,,
8233518,4392388,uk,Джефферсон-Сіті,,,,,,
8233519,4392388,ar,جفرسون سيتي,,,,,,
